Acinetobacter baumannii,470,
Acinetobacter nosocomialis,106654,
Actinobacillus pleuropneumoniae,715,
Aeromonas hydrophila,644,
Aeromonas salmonicida,645,
Agrobacterium tumefaciens,358,
Agrobacterium vitis,373,
Alternaria alternata,5599,
Alternaria brassicicola,29001,
Alternaria citri,135859,
Alternaria longipes,160389,
Alternaria solani,48100,
Arthrobotrys oligospora,13349,
Ascochyta rabiei,5454,
Aspergillus flavus,5059,
Aspergillus fumigatus,746128,
Aspergillus nidulans,162425,
Avibacterium paragallinarum,728,
Bacillus anthracis,1392,anthrax bacterium
Bacillus cereus,1396,
Beauveria bassiana,176275,
Bipolaris maydis,5016,southern corn leaf blight pathogen
Bipolaris oryzae,101162,
Bipolaris sorokiniana,45130,
Bipolaris victoriae,40125,
Bipolaris zeicola,5017,
Blastomyces dermatitidis,5039,
Blumeria graminis,34373,grass mildew
Bordetella bronchiseptica,518,
Bordetella pertussis,520,
Borrelia burgdorferi,139,Lyme disease spirochete
Borrelia hermsii,140,
Botrytis cinerea,40559,
Botrytis elliptica,278938,
Bremia lactucae,4779,lettuce downy mildew
Brucella abortus,235,
Brucella melitensis,29459,
Brucella suis,29461,
Burkholderia cenocepacia,95486,
Burkholderia cepacia,292,
Burkholderia contaminans,488447,
Burkholderia glumae,337,
Burkholderia mallei,13373,
Burkholderia pseudomallei,28450,
Burkholderia thailandensis,57975,
Bursaphelenchus xylophilus,6326,pine wood nematode
Campylobacter jejuni,197,
Candida albicans,5476,
Candida dubliniensis,42374,
Candida glabrata,5478,
Candida parapsilosis,5480,
Candida tropicalis,5482,
Ceratocystis fimbriata,5158,
Ceratocystis harringtonii,312341,
Cercospora apii,132184,
Cercospora beticola,122368,
Cercospora kikuchii,84275,
Cercospora nicotianae,29003,
Cercospora zeae-maydis,135779,
Chlamydia muridarum,83560,agent of mouse pneumonitis
Chlamydia pneumoniae,83558,
Chlamydia trachomatis,813,
Citrobacter rodentium,67825,
Clavibacter michiganensis,28447,
Claviceps purpurea,5111,ergot fungus
Clavispora lusitaniae,36911,
Clostridioides difficile,1496,
Clostridium perfringens,1502,
Coccidioides immitis,5501,
Coccidioides posadasii,199306,
Colletotrichum acutatum,27357,
Colletotrichum coccodes,27358,
Colletotrichum gloeosporioides,474922,
Colletotrichum graminicola,31870,
Colletotrichum higginsianum,80884,
Colletotrichum lagenaria,5462,
Colletotrichum lentis,1585795,
Colletotrichum lindemuthianum,290576,
Colletotrichum orbiculare,5465,
Colletotrichum trifolii,5466,
Corynebacterium diphtheriae,1717,
Corynebacterium ulcerans,65058,
Coxiella burnetii,777,
Cronobacter turicensis,413502,
Cronobacter universalis,535744,
Cryphonectria parasitica,5116,chestnut blight fungus
Cryptococcus gattii,552467,
Cryptococcus neoformans,5207,
Curvularia lunata,5503,
Cystobacter fuscus,43,
Dactylellina haptotyla,430498,
Dickeya dadantii,204038,
Dickeya solani,1089444,
Dothistroma septosporum,64363,
Edwardsiella ictaluri,67780,
Edwardsiella tarda,636,
Enterococcus faecalis,1351,
Enterococcus faecium,1352,
Epichloe festucae,35717,
Erwinia amylovora,552,
Escherichia coli,562,E. coli
Exophiala dermatitidis,5970,
Flavobacterium psychrophilum,96345,
Francisella tularensis,263,
Fusarium asiaticum,282267,
Fusarium culmorum,5516,
Fusarium fujikuroi,5127,
Fusarium graminearum,5518,
Fusarium oxysporum,5507,
Fusarium proliferatum,948311,bulb rot disease fungus
Fusarium pseudograminearum,101028,
Fusarium sambucinum,5128,
Fusarium solani,169388,
Fusarium sporotrichioides,5514,
Fusarium verticillioides,117187,
Fusarium virguliforme,232082,
Gaeumannomyces graminis,29850,
Glaesserella parasuis,738,
Globodera pallida,36090,
Globodera rostochiensis,31243,
Gloeocercospora sorghi,5563,
Grosmannia clavigera,226899,
Haemophilus ducreyi,730,
Haemophilus influenzae,727,
Helicobacter pylori,210,
Heterobasidion annosum,13563,
Heterodera glycines,51029,soybean cyst nematode
Histoplasma capsulatum,5037,
Hyaloperonospora arabidopsidis,272952,
Kingella kingae,504,
Klebsiella pneumoniae,573,
Lactococcus lactis,1358,
Lecanicillium fungicola,93591,
Legionella pneumophila,446,
Leishmania infantum,5671,
Leishmania major,5664,
Leishmania mexicana,5665,
Leptosphaeria maculans,5022,blackleg of rapeseed fungus
Leptospira interrogans,173,
Listeria monocytogenes,1639,
